[2025-02-28 07:51:22,077] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.UNAVAILABLE: (14, 'unavailable')>, 'IOCP/Socket: Connection aborted (An established connection was aborted by the software in your host machine.\r\n -- 10053)', Metadata(tracking_id=None, ratelimit_limit='600, 600;w=60', ratelimit_remaining=598, ratelimit_reset=32, message=None))
[2025-02-28 07:51:22,094] [INFO] Will retry after 1 seconds...
[2025-02-28 07:51:23,232] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.UNAVAILABLE: (14, 'unavailable')>, 'DNS resolution failed for invest-public-api.tinkoff.ru: UNAVAILABLE: getaddrinfo: WSA Error (No such host is known.\r\n -- 11001)', None)
[2025-02-28 07:51:23,234] [INFO] Will retry after 2.1811625912205703 seconds...
[2025-02-28 07:51:25,505] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.UNAVAILABLE: (14, 'unavailable')>, 'DNS resolution failed for invest-public-api.tinkoff.ru: UNAVAILABLE: getaddrinfo: WSA Error (No such host is known.\r\n -- 11001)', None)
[2025-02-28 07:51:25,506] [INFO] Will retry after 4.818120311972621 seconds...
[2025-02-28 07:51:50,412] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.UNAVAILABLE: (14, 'unavailable')>, 'failed to connect to all addresses; last error: UNKNOWN: ipv4:185.65.149.161:443: tcp handshaker shutdown', None)
[2025-02-28 07:51:50,412] [INFO] Will retry after 10.478756438223535 seconds...
[2025-02-28 07:52:20,971] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.UNAVAILABLE: (14, 'unavailable')>, 'failed to connect to all addresses; last error: UNKNOWN: ipv4:185.65.149.161:443: tcp handshaker shutdown', None)
[2025-02-28 07:52:20,971] [INFO] Will retry after 21.488492282974256 seconds...
[2025-02-28 19:02:09,581] [INFO] [start] It`s starting...
[2025-02-28 19:02:09,582] [INFO] -----------------------------
